口,-87
木,-81
言,-33
日,-4
一,3
土,-193
心,-41
糸,-1026
女,-42
人,9
大,8
田,-38
目,-41
十,-77
子,11
見,-4
山,2
貝,-1234
金,-25
力,-40
王,-263
月,-125
寸,-1107
手,13
立,-10
門,-115
二,-10
中,18
車,-76
又,-1174
分,-2
米,-492
方,-29
出,27
白,-105
行,20
生,28
者,33
火,-150
自,21
峠,-1146
思,-38
雨,-538
石,-92
寺,-57
下,12
衣,-609
戸,-184
気,27
虫,-628
上,39
少,-230
斤,-2081
間,29
巾,-1408
欠,-852
穴,-1033
矢,-700
音,-83
小,32
彼,-100
本,39
己,-492
入,3
士,-109
馬,-107
今,-119
午,-1186
丁,-816
里,-366
弓,-1263
刀,-586
耳,-754
前,7
皮,-714
同,-23
未,-377
工,-66
反,-160
止,-262
何,-23
長,39
可,-354
犬,-742
鬼,-701
示,-642
由,-184
内,14
重,-34
来,-21
時,61
不,68
正,-37
舌,-1178
皿,-1489
走,-437
合,68
夕,-754
三,72
主,58
事,84
水,43
青,-240
文,55
体,50
次,-25
豆,-789
家,76
八,-54
夫,-96
私,-91
直,-78
旦,-1476
度,11
干,-829
各,-865
意,31
古,-77
吉,-139
部,68
申,-522
男,-35
令,-442
至,-838
込,-14
知,30
顔,-124
元,-127
東,17
牛,-730
司,-358
動,93
天,68
面,27
話,19
羊,-1338
相,24
亡,-631
単,-495
道,87
奇,-539
取,66
九,-304
玉,-288
後,39
且,-1976
兄,-585
年,82
台,-89
物,136
谷,-140
周,-530
肉,-373
束,-746
憩,-1752
原,66
身,56
先,29
余,-576
足,2
愛,-101
軍,35
会,145
光,-1
承,-858
世,71
声,-64
交,-20
屋,129
化,91
感,34
切,80
屈,-1035
共,-75
全,27
葛,-1477
半,-16
明,97
両,-260
高,124
代,135
良,-82
公,62
丙,-1893
殺,-93
用,101
聞,0
考,-167
太,89
食,47
朱,-1322
義,122
地,167
歩,-147
着,-3
能,-24
名,108
京,-172
早,-157
父,-278
放,-23
予,-191
持,41
向,21
毎,-792
夜,-3
新,134
支,-221
敬,-899
召,-950
最,-10
失,-263
表,-40
君,-358
羽,-257
的,195
葉,9
真,108
親,-70
実,111
革,-463
落,3
然,18
息,-320
