人,2638533,1
一,2195934,1
見,1662327,1
言,1514426,2
出,1480313,1
子,1386216,1
大,1272244,1
思,1214799,2
手,1184591,1
分,1150899,2
彼,1139414,8
中,1135994,1
女,1132765,1
気,1129318,1
上,1101789,1
間,1053999,2
日,1036620,1
二,981711,1
自,972474,2
行,937990,2
時,907721,2
何,893079,2
事,874850,3
生,867479,1
私,858497,6
前,850182,2
来,760090,2
方,756168,2
本,741857,1
目,733089,1
十,730229,1
三,714921,1
者,707077,3
下,674244,1
年,673778,1
話,662707,2
知,652566,2
入,640831,1
立,627785,1
部,615363,3
家,607253,2
心,584482,2
今,580920,2
男,575471,1
小,564734,1
後,555471,2
顔,550520,2
長,543933,2
体,535054,2
物,532258,3
合,518569,2
声,493807,2
地,490491,2
屋,479432,3
場,479195,2
口,477205,1
身,472311,3
聞,469937,2
的,467125,4
持,464935,3
会,464533,2
意,458680,3
度,455360,3
当,454620,2
同,447974,2
感,441721,3
先,432773,1
動,421350,3
明,416924,2
少,407305,2
不,406571,4
通,401526,2
力,399580,1
考,396632,2
山,395867,1
向,390022,3
実,387036,3
田,381944,1
無,381489,4
国,379373,2
理,379160,2
五,379098,1
死,374884,3
名,370253,1
神,369148,3
所,359922,3
学,357852,1
取,349292,3
面,348311,3
書,347296,2
笑,343560,4
外,341100,2
代,338178,3
四,338148,1
月,336544,1
道,333496,2
高,332821,2
金,332142,1
美,330729,3
内,328063,2
世,324303,3
頭,322227,2
戦,319401,4
全,319252,3
作,318978,2
近,315996,2
様,312881,3
切,312709,2
相,309281,3
足,305573,1
真,305132,3
葉,304641,3
最,303864,4
郎,301760,8
情,289239,5
発,289158,3
変,287479,4
夜,285743,2
食,285163,2
白,281183,1
性,280336,5
然,280292,4
信,279899,4
主,279680,3
味,279556,3
用,278687,2
新,275658,2
音,274220,1
対,271517,3
夫,271303,4
文,270150,1
木,269608,1
殺,265557,4
着,264496,3
車,263489,1
引,263397,2
水,262963,1
現,262777,5
込,260307,8
親,260169,2
悪,259462,3
以,258853,4
色,258764,2
野,258416,2
空,256127,1
教,255301,2
父,253796,2
結,252072,4
君,251388,3
開,250502,3
正,249975,1
連,249340,4
関,249069,4
川,248472,1
仕,248218,3
八,248128,1
歩,246613,2
返,246313,3
落,246144,3
問,240622,3
太,238666,2
風,237440,2
僕,235878,8
帰,235549,2
次,234669,3
軍,233507,4
俺,232382,8
天,232183,1
違,228635,8
重,228360,3
光,227835,2
機,227297,4
母,224869,2
使,224703,3
別,221146,4
数,220978,2
待,220656,3
直,219862,2
命,219155,3
回,217980,2
六,217144,1
多,216739,2
表,211654,3
馬,211360,2
平,210396,3
社,210389,2
強,207994,2
原,207765,2
兵,207331,4
電,206747,2
士,206076,4
要,204725,4
御,201141,8
受,200695,3
誰,199160,8
好,199114,4
指,198465,3
眼,197540,5
決,197258,3
王,197020,1
起,196711,3
七,195925,1
初,195844,4
海,195053,2
安,194860,3
残,194125,4
調,194027,3
飛,192501,4
解,191575,5
流,191285,3
東,190717,2
姿,189569,6
呼,189187,6
早,187768,1
助,187637,3
定,187434,3
第,187014,3
突,185841,8
乗,185670,3
村,183637,1
若,182907,6
息,182893,3
九,182653,1
確,181027,5
語,180193,2
石,179871,1
愛,179179,4
首,178423,2
半,177602,2
界,176789,3
由,176467,3
説,176345,4
置,175864,4
朝,174441,2
法,174038,4
室,173166,2
黒,171693,2
警,171262,6
答,168649,2
覚,168172,4
張,166856,5
記,165908,2
続,165906,4
想,165645,3
両,165140,3
遠,164846,2
成,164776,4
得,164298,4
門,164146,2
振,163942,8
背,163683,6
必,162368,4
配,162336,3
他,161931,3
島,161610,3
化,160891,3
元,160774,2
運,160268,3
在,160089,5
苦,159779,3
和,158742,3
楽,158468,2
付,157765,4
百,156444,1
視,156238,6
終,155566,3
能,155543,5
進,155507,3
業,155321,3
員,154987,3
件,154947,5
線,154457,2
隊,153400,4
過,152916,5
井,152153,8
番,150011,2
形,149943,2
居,149708,5
供,149326,6
火,148691,1
急,148626,3
衛,148384,5
打,148279,3
店,148271,2
伝,147677,4
深,147248,3
走,147218,2
集,147093,3
始,146692,3
点,146058,2
千,146036,1
消,145624,3
失,144157,4
赤,143543,1
青,143494,1
戻,143238,8
吉,142885,8
撃,142804,8
公,142465,2
横,142465,3
戸,141910,2
土,141335,1
船,141244,2
反,141034,3
止,140579,2
加,139866,4
花,139678,1
広,139314,2
達,138986,4
放,138985,3
勝,138413,3
離,138265,8
老,137116,4
古,136811,2
右,136297,1
万,136071,2
追,135595,3
師,135432,5
魔,135387,8
血,135105,3
台,135014,2
題,134604,3
経,133990,5
常,133833,5
有,132969,3
娘,132917,8
利,132792,4
校,132337,1
左,132308,1
町,131542,1
読,131417,2
状,131328,5
京,130723,2
寄,130660,5
断,130542,5
存,130017,6
恐,129394,8
官,129248,4
奥,129180,8
座,128973,6
良,128596,4
押,127576,8
紙,127232,2
申,126819,3
階,126810,3
態,126684,5
転,125977,3
抜,125799,8
病,125720,3
果,125587,4
役,125205,3
判,124566,5
可,124139,5
側,124042,4
絶,123551,5
浮,123283,8
逃,123146,8
画,122764,2
藤,122702,8
寝,122662,8
守,122552,3
城,122455,6
活,122361,2
氏,122329,4
義,121655,5
西,120357,2
佐,120336,8
客,120083,3
武,119495,5
段,119409,6
品,119216,3
告,118431,4
鳴,117690,2
報,117679,5
友,117468,2
勢,117191,5
組,116641,2
係,116221,3
応,116194,5
胸,115820,6
計,115371,2
住,115156,3
路,114993,3
治,114556,4
望,114533,4
貴,114108,6
議,113864,4
期,113513,3
術,113345,5
特,113070,4
腕,112585,8
服,112333,3
暗,111444,3
飲,111155,3
敵,111022,5
頼,110705,8
江,110413,8
渡,110294,8
送,109632,3
都,109568,3
民,109369,4
細,109259,2
静,108896,4
察,108512,4
去,107884,3
北,107880,2
松,107672,4
論,107573,6
質,107186,5
念,107090,4
識,106681,5
片,106419,6
族,106265,3
市,106160,2
根,105952,3
満,105632,4
将,105366,6
降,105141,6
器,104991,4
宮,104854,3
抱,104812,8
草,104507,1
兄,104286,2
幸,104147,3
耳,103271,1
介,103132,8
我,103084,6
犯,103027,5
頃,102847,8
酒,102777,3
影,102496,8
緒,102223,8
交,101615,2
務,101369,5
保,100780,5
瞬,100690,8
格,100595,5
売,99474,2
志,99467,5
字,99219,1
冷,99182,4
茶,99153,2
歳,98313,8
夢,98258,5
素,97563,5
院,97539,3
政,97312,5
際,96736,5
倒,96669,8
腹,96508,6
精,96356,5
予,96154,3
買,95122,2
黙,94582,8
異,94332,6
肉,94268,2
熱,93968,4
妙,93955,8
谷,93841,2
叫,93739,8
髪,93452,8
約,93322,4
肩,92633,8
団,92551,5
痛,92208,6
単,91798,4
隠,91355,8
礼,91127,3
久,90925,5
歌,90808,2
怒,90487,8
腰,90437,8
窓,90418,6
婚,90066,8
驚,89764,8
難,89736,6
差,89699,4
妻,89566,5
支,89309,5
囲,89237,4
料,89039,4
証,89000,5
嫌,88990,8
似,88782,5
認,88109,6
悲,87980,3
像,87872,5
津,87610,8
壁,87564,8
容,87543,5
裏,87502,6
構,87308,5
剣,87049,8
建,86896,4
破,86576,5
忘,86543,6
式,86453,3
軽,85670,3
蔵,85540,6
探,85525,6
任,85505,5
香,84944,8
限,84809,5
造,84737,5
注,84436,3
示,84248,5
旅,84171,3
観,84075,4
席,84027,4
参,83894,4
陽,83710,3
沢,83693,8
種,83594,4
具,83550,3
敷,83274,8
余,83265,5
端,83163,8
奴,82840,8
負,82734,3
疑,82426,6
眠,82161,8
備,81884,5
寺,81847,2
許,81838,5
願,81668,4
工,81548,2
円,81302,1
談,81259,3
婦,81192,5
投,81070,3
位,80572,4
令,80389,4
傷,80119,6
丸,80108,2
等,79832,3
装,79787,6
庭,79663,3
共,79614,4
仲,79448,4
越,79410,8
号,79282,3
舞,79206,8
南,78785,2
波,78674,3
並,78338,6
微,78169,8
角,78152,2
類,77818,4
周,77518,4
産,77477,4
喜,77422,4
護,77372,5
星,77341,2
途,77182,8
吹,76998,8
泣,76912,4
巻,76911,6
再,76691,5
景,76582,4
刻,76485,6
与,76247,8
乱,76238,6
鉄,75844,3
密,75674,6
殿,75373,8
優,75325,6
秋,75231,2
夕,75022,1
制,74922,5
銀,74684,3
霊,74585,8
例,74271,4
興,74165,5
春,74023,2
局,73919,3
図,73814,2
案,73670,4
奇,73569,8
危,73397,6
底,73150,4
選,72971,4
医,72897,3
怖,72862,8
坂,72743,3
接,72708,5
退,72637,5
街,72589,4
求,72473,4
映,72253,6
刑,72234,8
閉,72144,6
写,72133,3
尾,72103,8
争,71957,4
商,71780,3
河,71744,5
辺,71714,4
怪,71346,8
激,71186,6
雨,71169,1
完,71118,4
処,70627,6
司,70519,4
弾,70457,8
派,70275,6
折,70182,4
非,70080,5
遊,70009,3
橋,69999,3
雪,69971,2
査,69807,5
故,69691,5
験,69646,4
宿,69390,3
毛,69279,2
従,69278,6
館,69269,3
玉,69189,1
床,69180,8
休,68917,1
恋,68906,8
罪,68803,5
散,68781,4
条,68428,5
速,68398,3
射,68314,6
困,68288,6
程,68165,5
掛,68148,8
独,68049,5
清,68015,4
弟,67713,2
夏,67299,2
崎,67215,8
昨,67198,4
権,67140,6
吸,67048,6
里,66974,2
秘,66702,6
羽,66459,2
象,66391,4
姫,66348,8
雑,66235,5
布,66115,5
岡,66075,8
束,66070,4
丈,65765,8
駆,65539,8
帯,65510,4
暮,65436,6
欲,65385,6
移,65194,5
職,65129,5
森,65061,1
末,64868,4
焼,64765,4
園,64273,2
薄,64067,8
割,64038,6
絵,63927,2
惑,63904,8
岩,63695,2
触,63694,8
害,63100,4
姉,62976,2
険,62876,5
曲,62833,3
午,62582,2
働,62453,4
犬,62299,1
堂,62160,4
比,62094,5
鹿,61936,8
竜,61644,8
払,61275,8
攻,61228,8
紀,60891,4
秀,60698,8
響,60675,8
登,60665,3
球,60540,3
昔,60511,3
刀,60346,2
英,59825,4
踏,59776,8
握,59520,8
鼻,59347,3
史,58994,4
照,58918,4
低,58825,4
衣,58820,4
洋,58656,3
骨,58477,6
福,58247,3
薬,58094,3
逆,57848,5
房,57697,8
煙,57685,8
艦,57443,8
聖,57441,6
毎,57325,2
章,57074,3
宗,56932,6
留,56880,5
領,56842,5
玄,56731,8
極,56711,4
捨,56686,6
未,56505,4
弁,56414,5
眺,56350,8
弱,56343,2
鳥,56326,2
沈,56211,8
育,56182,3
短,56056,3
林,55906,1
晩,55750,6
型,55612,4
憶,55573,8
永,55502,5
演,55458,5
刺,55375,8
訪,55361,6
跡,55033,8
伸,55020,8
闘,55005,8
銃,55000,8
個,54996,5
包,54961,4
倉,54940,4
徒,54940,4
闇,54798,8
板,54781,3
雲,54443,2
縁,54398,8
快,54395,5
訳,54359,6
荒,53759,8
米,53752,2
織,53545,5
那,53321,8
固,53057,4
巨,53053,8
源,53046,6
徳,52876,5
忠,52738,6
狂,52704,8
修,52699,5
襲,52656,8
陸,52603,4
労,52535,4
奈,52515,8
普,52496,8
筋,52391,6
脱,52273,8
捕,52267,8
迷,52254,5
皇,52214,6
収,52088,6
亡,51992,6
昼,51764,2
総,51728,5
枚,51707,6
試,51577,4
雄,51554,8
印,51537,4
吐,51452,8
騒,51293,8
灯,51249,4
柄,51218,8
為,51016,8
列,50925,3
迎,50917,8
芸,50898,4
隣,50613,8
習,50562,3
量,50559,4
済,50495,6
輝,50430,8
捜,50409,8
甲,50242,8
技,50170,5
涙,49722,8
儀,49695,8
宇,49656,6
妹,49626,2
枝,49496,5
府,49410,4
暴,49331,5
皮,49267,3
科,49220,2
恵,49085,8
震,48990,8
揺,48633,8
椅,48628,8
州,48541,3
輩,48514,8
遅,48463,8
検,48451,5
鬼,48347,8
宅,48202,6
設,48183,5
岸,48135,3
穴,47936,6
輪,47899,4
週,47891,2
救,47847,4
遺,47758,6
滅,47456,8
帝,47214,8
駅,47005,3
混,46987,5
描,46957,8
積,46721,4
杯,46652,8
黄,46519,2
資,46505,5
詰,46460,8
皆,46413,8
鏡,46395,4
伯,46380,8
爵,46322,8
駄,46063,8
納,46038,6
節,45970,4
臣,45940,4
博,45829,4
唇,45708,8
境,45653,5
廊,45430,8
砂,45400,6
改,45376,4
復,45252,5
防,45236,5
毒,45197,4
尋,44989,8
邪,44925,8
竹,44885,1
矢,44865,2
麻,44776,8
晴,44756,2
箱,44733,3
宙,44727,6
祖,44556,5
伏,44538,8
盛,44376,6
宝,44189,6
洗,44109,6
敗,44096,4
如,44082,8
仰,44073,8
増,43968,5
簡,43939,6
研,43768,3
児,43737,4
承,43403,5
坊,43357,8
染,43324,6
浅,43181,4
群,43157,5
弥,43088,8
迫,43023,8
袋,42969,8
陰,42841,8
責,42840,5
桜,42803,5
提,42757,5
届,42637,6
昭,42616,3
屈,42592,8
基,42587,5
疲,42506,8
爆,42376,8
給,42061,4
絡,41934,8
練,41929,3
盗,41901,8
究,41862,3
編,41843,5
諸,41748,6
湯,41680,3
詩,41679,3
陣,41675,8
純,41510,6
拠,41391,8
句,41348,5
扉,41181,8
壊,40920,8
歯,40847,3
誘,40843,8
才,40808,2
評,40763,5
騎,40730,8
額,40619,5
猫,40610,8
脳,40550,6
温,40544,3
借,40171,4
厳,40124,6
便,40078,4
荷,40020,3
歴,39929,4
管,39928,4
甘,39887,8
被,39875,8
幕,39758,6
抗,39505,8
統,39489,5
恥,39435,8
瀬,39419,8
富,39314,5
翌,39293,6
況,39273,8
衆,39267,6
値,39025,6
健,39021,4
級,39012,3
希,38989,4
酔,38981,8
