剝,100.00,14,87
塡,97.47,17,79
徐,66.92,41,32317
凡,61.73,241,27758
簿,55.61,21,25954
伺,50.43,42,5713
弐,46.21,300,6683
頰,42.86,9,35
扶,39.19,196,12034
惧,32.93,6,8153
淫,32.64,334,10705
迅,32.41,113,9121
羨,30.88,10,2001
紡,30.08,105,12325
吟,28.52,63,7090
幽,26.12,68,23568
錬,25.61,46,16022
囚,25.60,25,14089
璽,24.76,65,2169
跳,23.52,179,19635
旅,22.67,271,257310
汰,22.44,85,6645
低,22.19,67,182020
怨,22.03,153,7017
客,21.94,267,282782
騰,21.94,50,6754
賓,21.57,198,5085
駐,20.96,117,97045
沃,20.74,70,2396
遵,20.30,105,3887
汽,20.21,174,16270
房,19.68,338,190371
爽,19.48,122,4691
訂,18.46,22,28917
飢,18.40,52,8853
擁,17.85,17,23242
曹,17.51,631,36237
醸,17.34,62,11128
摩,17.02,288,96366
亭,16.82,424,40291
畿,16.49,48,36786
鬱,16.23,111,7778
附,15.60,318,58962
戴,15.17,263,9068
鉄,15.15,675,856901
楷,14.88,52,1398
沸,14.68,32,7618
拉,14.43,311,10883
傲,13.96,44,3188
賠,13.69,25,14902
裂,13.62,273,44143
遊,13.53,1040,134880
劾,13.48,14,2218
堕,13.45,93,8149
慕,13.12,126,16690
鎮,13.03,1255,75808
旬,12.97,33,40905
旺,12.93,202,8219
蛮,12.89,179,6671
頑,12.75,100,14198
且,12.57,206,4406
墾,12.43,55,3105
簡,12.41,282,72487
墳,12.16,34,44939
駄,11.97,70,16151
乞,11.96,133,5032
凹,11.93,97,4074
辣,11.93,64,2213
刺,11.88,128,54739
往,11.77,235,51658
挫,11.75,46,8116
迭,11.70,27,2230
魅,11.62,25,20880
吐,11.62,232,17475
抄,11.46,266,11972
眠,11.35,56,42465
陪,11.18,66,4250
毎,11.13,53,207219
秘,11.06,160,109506
塑,10.95,61,2009
慈,10.65,501,22511
寡,10.64,47,4540
渓,10.54,214,26644
妖,10.46,386,52647
謹,10.44,156,4916
勾,10.42,80,10830
儒,10.42,148,8754
送,10.38,403,1369640
愁,10.30,132,5144
控,10.28,40,24710
放,10.18,356,1372845
祥,10.15,207,43607
粛,10.05,129,12794
惰,9.98,22,1222
砕,9.94,170,15426
券,9.93,90,93933
菓,9.93,127,30825
溶,9.92,168,39050
私,9.88,126,175068
酔,9.83,76,20374
屯,9.80,119,20164
奪,9.79,47,92345
閑,9.65,285,8272
尚,9.47,239,59751
縛,9.44,38,14621
逓,9.42,54,4705
硝,9.36,69,6856
潰,9.34,81,12628
双,9.15,203,89183
廃,9.00,125,343654
斤,9.00,23,1612
隷,8.99,150,29895
銀,8.92,456,255197
桑,8.87,207,42154
錮,8.85,5,1175
叔,8.80,340,18601
謁,8.78,26,3715
央,8.68,319,290663
衡,8.68,215,15500
憎,8.60,27,12438
惜,8.48,70,8315
省,8.37,534,271222
済,8.35,337,279120
弄,8.32,19,5699
庶,8.26,118,15860
嗅,8.23,46,2941
棋,8.13,190,48736
薬,8.11,503,192809
磁,8.09,189,44679
沈,8.07,580,51345
肉,7.97,154,97646
奔,7.97,118,8828
軟,7.91,174,23335
罷,7.86,17,3513
陵,7.83,244,40278
抹,7.78,43,10726
鋼,7.77,153,46964
預,7.77,34,29073
油,7.71,333,90616
耐,7.68,240,43888
慄,7.64,8,2304
盗,7.58,78,59616
胎,7.58,160,10943
吏,7.51,200,7831
殉,7.48,49,7284
卑,7.28,128,9512
玩,7.16,106,14446
社,7.15,1610,2326220
何,7.12,117,179013
電,7.09,1080,840633
哀,7.00,223,15392
拭,7.00,38,3470
芳,6.95,318,52576
倹,6.89,65,1698
聞,6.86,585,286471
擬,6.86,211,15573
諧,6.84,49,2077
西,6.83,4231,1090024
書,6.82,1053,1126325
九,6.82,2093,224506
疫,6.81,61,15542
稽,6.81,92,9115
洋,6.78,471,315453
婦,6.76,113,80109
悔,6.64,68,10129
窟,6.63,115,13581
酪,6.62,32,3627
甚,6.61,188,10897
嗣,6.57,298,19834
婆,6.53,90,10772
窮,6.51,37,10473
目,6.46,1422,1738818
頒,6.45,40,2513
早,6.43,287,195568
阜,6.37,148,76182
駒,6.33,230,54810
刈,6.30,135,19100
工,6.28,1666,666765
友,6.28,520,237921
泳,6.27,142,31492
富,6.19,960,280428
噴,6.15,85,27467
如,6.14,834,50870
痩,6.14,67,3306
据,6.10,52,9867
姓,6.09,145,51917
芋,6.02,52,5398
胞,6.01,127,60817
枯,6.01,146,9899
租,5.97,96,6310
蚕,5.83,42,4891
号,5.81,458,1428709
州,5.78,1345,760189
陽,5.77,609,224438
陰,5.74,175,56859
短,5.73,636,205800
喩,5.73,64,4259
晶,5.72,64,48354
恨,5.72,71,9563
寮,5.71,89,24414
道,5.66,2158,2199883
翁,5.62,168,8559
爆,5.54,497,153597
漠,5.52,19,14970
埼,5.51,157,97979
