人,0
一,0
大,-4
子,-2
者,-28
学,-81
出,2
日,-9
生,-15
中,-2
手,2
上,-3
国,-67
物,-36
山,-60
行,-4
事,-6
会,-43
自,0
見,17
的,-38
気,8
本,-6
不,-47
間,9
地,-27
三,-5
小,-17
合,-22
時,9
郎,-83
家,-9
分,23
下,0
立,-4
言,32
二,19
無,-41
動,-29
屋,-14
理,-40
主,-82
長,-5
金,-54
神,-40
代,-47
性,-74
心,6
文,-82
田,-28
女,38
部,12
道,-43
目,24
体,6
高,-41
書,-33
法,-177
水,-78
力,-13
入,23
方,34
所,-23
場,9
天,-103
年,31
前,41
業,-201
機,-103
義,-295
川,-83
野,-72
新,-54
内,-26
社,-111
取,-12
戦,-26
通,6
化,-177
思,72
明,12
美,-17
木,-49
電,-106
用,-41
意,24
外,-5
口,32
名,5
原,-98
十,60
切,-16
御,-100
平,-91
世,-6
知,59
作,-8
発,-18
同,34
太,-61
身,44
寺,-421
度,40
何,82
車,-30
後,60
面,18
信,-15
実,32
真,-1
来,84
東,-99
相,4
島,-141
教,-31
話,80
定,-99
海,-86
線,-153
空,-25
公,-178
政,-325
重,-47
引,-12
関,-28
和,-135
軍,-39
風,-34
先,62
正,-21
次,-34
語,-93
民,-268
色,-9
当,71
石,-90
感,71
安,-67
込,0
白,20
門,-108
音,14
食,24
工,-382
経,-178
五,64
月,52
全,44
産,-401
員,-120
保,-284
付,-111
成,-94
死,71
衛,-127
連,4
男,113
足,48
治,-225
多,-22
彼,150
持,102
八,7
西,-202
光,-6
数,-10
形,-110
情,53
有,-156
器,-249
四,77
対,43
馬,-11
士,-17
兵,-14
品,-195
頭,75
期,-210
官,-159
現,42
論,-227
制,-387
向,107
回,4
楽,-77
今,143
聞,129
交,-245
火,-91
直,12
記,-51
流,-18
半,-36
千,-97
古,-119
利,-131
術,-192
着,64
土,-103
画,-158
問,41
私,177
命,24
務,-230
然,83
夫,76
井,-68
葉,96
夜,91
権,-426
助,-4
状,-120
花,-94
調,7
別,40
北,-190
様,110
味,93
落,60
能,-47
最,108
運,-36
開,73
放,-86
変,108
市,-188
界,-3
船,-75
料,-252
科,-562
声,179
戸,-69
報,-141
勝,-77
式,-262
計,-145
活,-126
台,-83
反,-65
転,-107
伝,-44
売,-196
武,-126
悪,103
団,-219
室,10
南,-296
打,-35
共,-289
路,-133
顔,204
結,104
表,70
仕,99
元,-2
根,-159
師,-61
吉,-39
番,-17
久,-209
常,-63
愛,35
解,54
良,-77
万,-51
議,-121
飛,59
進,0
集,-19
置,37
由,40
校,-56
強,86
造,-230
観,-233
近,170
江,-120
殺,145
字,-161
草,-142
説,49
少,212
精,-168
王,84
組,-92
松,-121
隊,14
宮,-132
親,149
院,-156
谷,-168
朝,58
好,97
役,-57
津,-193
使,122
加,-9
返,140
点,9
受,106
指,104
過,28
紙,-40
乗,85
証,-177
血,-14
決,108
在,49
黒,72
格,-127
村,91
張,71
特,-77
断,-21
病,-34
第,99
要,125
送,-81
査,-292
急,39
想,77
座,-18
茶,-119
広,16
百,61
撃,28
争,-267
素,-117
総,-434
蔵,-169
舞,-211
離,20
差,-144
居,56
笑,244
赤,42
条,-287
波,-206
商,-256
鉄,-223
歩,184
止,37
青,48
装,-192
質,-64
等,-189
害,-317
佐,-19
角,-198
達,41
資,-467
警,114
薬,-342
験,-259
考,281
早,142
護,-195
任,-143
園,-298
店,76
識,-50
初,159
母,190
振,114
住,-17
判,14
応,-12
覚,128
老,56
京,37
題,49
突,154
配,120
医,-208
管,-529
清,-255
備,-145
城,16
帯,-270
満,-36
志,-58
視,117
抜,35
都,-16
態,39
具,-128
起,186
量,-390
沢,-123
洋,-302
勢,15
細,-10
予,-59
掛,-235
橋,-214
係,18
歌,-73
銀,-172
町,69
星,-153
非,-206
約,-60
若,182
消,112
投,-125
選,-175
件,136
春,-166
念,-1
苦,150
異,-44
焼,-244
独,-217
労,-338
遠,169
射,-210
徳,-329
職,-235
寄,85
横,120
違,252
丸,-112
追,106
右,109
得,177
位,-105
絶,72
告,56
支,-50
七,228
処,-171
玉,-186
六,252
種,-79
防,-400
里,-202
可,84
済,-341
両,194
皇,-319
待,264
族,29
試,-322
続,201
尾,-148
深,160
九,224
河,-148
果,99
際,2
眼,253
首,224
参,-57
未,-255
左,126
館,-161
越,-83
難,-18
守,98
史,-228
検,-339
技,-321
終,197
建,-30
板,-269
酒,36
押,125
友,93
類,-79
破,-25
芸,-304
羽,-168
福,-221
堂,-197
失,182
育,-239
製,-459
父,331
喜,-72
宗,-223
修,-268
雄,-284
崎,-151
読,153
児,-371
図,-90
片,75
帰,324
司,-114
寝,130
号,-50
香,-10
誰,298
写,-98
巻,-62
客,128
鳥,-216
再,-60
犯,71
局,-75
服,109
岩,-160
冷,62
英,-180
症,-937
端,-11
毛,-108
遊,-100
極,-198
段,140
呼,298
宇,-274
節,-313
象,-127
円,-12
骨,-177
弁,-193
留,-186
熱,62
密,-44
俺,354
藤,163
婦,-6
米,-216
残,319
肉,70
富,-385
比,-144
乱,-33
紀,-147
速,-94
養,-423
走,246
設,-269
統,-374
存,200
旅,30
罪,-84
休,-81
陸,-211
派,-64
階,197
渡,145
息,322
麻,-296
望,161
談,19
林,-169
基,-323
限,47
曲,-116
接,-33
雑,-90
察,150
己,-416
婚,82
暗,164
雪,-52
雲,-176
価,-366
案,-16
割,-97
営,-358
霊,-7
令,33
浮,210
竜,-107
折,-38
費,-552
絵,-90
末,-84
君,423
障,-569
府,-215
腹,125
級,-342
我,150
背,327
仏,-425
容,90
雨,-19
岡,-63
険,-83
温,-314
球,-96
確,362
宿,-27
魔,269
降,171
収,-170
輪,-215
敷,77
源,-152
将,177
便,-306
弾,-8
布,-47
善,-335
領,-106
働,-69
坂,17
礼,134
習,-174
買,151
倉,-126
負,87
秋,40
織,-133
裏,118
永,-111
裁,-422
灯,-158
退,27
貴,228
為,-157
興,43
列,-156
構,126
傷,86
演,-102
航,-468
遺,-187
以,481
供,345
染,-234
研,-229
登,-53
忠,-119
聖,-71
鹿,-43
印,-136
盛,-215
瀬,-278
単,168
算,-429
財,-365
筋,-118
介,212
策,-409
型,-79
替,-321
党,-507
申,299
恵,-149
席,136
像,159
給,-228
映,59
優,83
換,-469
圧,-271
房,-45
吹,98
飲,260
軽,157
衣,-35
植,-390
刀,-25
改,-174
陽,149
狂,-87
泉,-338
散,40
照,-25
甲,-117
率,-440
栄,-291
刑,78
薄,11
注,165
飯,-264
幸,248
湯,-209
委,-640
攻,-1
版,-431
仮,-318
虫,-274
奈,-74
奇,102
他,427
周,133
願,158
革,-447
録,-292
農,-457
許,163
系,-318
縁,-47
竹,-149
祭,-243
静,289
積,-122
岸,-110
恐,358
刻,136
隠,230
賀,-278
逆,3
髪,239
弥,-161
境,-128
始,414
諸,-177
程,77
荒,-33
仲,168
枝,-80
剤,-886
勤,-229
奥,372
庭,175
景,154
短,-2
究,-164
鏡,-105
払,42
探,218
辺,122
油,-302
筆,-242
答,483
準,-243
与,163
倒,276
必,474
補,-307
示,222
毒,-107
従,114
句,-156
兄,309
秘,94
省,-358
余,219
爆,-138
浜,-254
専,-301
禁,-360
魚,-191
健,-176
殿,177
鳴,370
宅,-58
低,55
納,-79
個,18
逃,391
模,-288
側,396
宝,-97
黄,-65
華,-196
認,269
博,-73
影,325
臣,-70
矢,-82
樹,-185
値,-156
弟,129
敵,367
脱,7
夏,131
衆,-150
導,-257
並,222
吸,131
亡,8
詰,-49
協,-274
森,118
脳,-124
増,-79
編,-105
闘,49
踏,92
超,-253
劇,-164
滅,-30
故,169
評,-111
移,131
箱,-59
税,-828
鬼,-15
酸,-767
規,-274
皮,-2
呂,-229
仁,-414
危,213
療,-580
池,-205
挙,-251
浦,-349
祖,-48
州,1
如,-52
晴,-42
僕,638
頼,406
砲,-147
徒,72
鼻,118
底,226
暴,17
氏,444
競,-522
整,-117
提,-57
県,-243
陰,-52
層,-347
姿,603
煙,118
洗,-32
途,264
歯,-71
典,-318
秀,143
則,-381
腕,432
練,-53
欲,174
犬,156
耳,402
郷,-132
艦,130
痛,365
券,-823
恋,211
除,-132
泣,278
弱,123
岳,-876
剣,344
固,95
継,-255
袋,-24
区,-145
似,358
宙,-1
豊,-237
去,440
微,300
砂,15
街,261
幕,-58
略,-245
沙,-142
夕,284
妻,375
辞,-131
宣,-203
復,22
順,-115
駆,210
坊,1
牛,-190
羅,-387
監,-66
帝,52
締,-249
訳,127
儀,81
庁,-495
歴,-35
揚,-404
夢,426
漢,-421
露,-139
創,-365
胸,494
銃,147
責,10
那,135
床,259
課,-128
被,-26
壁,392
腰,410
妙,425
操,-113
丁,-66
眠,365
旧,-307
抗,-20
企,-340
完,289
賞,-332
例,320
跡,168
塩,-486
誌,-117
豆,-318
暮,247
捜,117
講,-268
束,254
庫,-29
舎,-86
寿,-493
輸,-561
央,-49
快,169
般,-261
欠,-95
才,17
怪,312
陣,27
刺,189
材,-43
紅,-24
免,-493
環,-358
疑,397
詞,-459
純,34
因,-25
章,219
遣,-181
奉,-101
審,-308
嫌,442
属,-54
悲,441
菜,-413
抱,508
帳,-234
請,-395
盗,54
効,-57
律,-270
亜,-161
致,-79
俗,-500
聴,-139
康,-87
伏,94
救,133
戻,646
延,-290
干,-265
摩,-234
盤,-436
柄,176
棒,11
荷,47
閉,359
邪,113
適,-121
液,-308
浅,94
奴,437
窓,483
駄,133
僧,-47
捕,202
寒,7
緒,529
至,22
港,-91
囲,484
詩,82
拝,-210
臨,-494
減,-59
候,-131
標,-283
勇,48
捨,264
湖,-238
惑,313
札,-133
歳,533
酔,57
幾,3
測,-144
求,392
各,34
群,121
激,384
憲,-482
震,191
須,-346
黙,533
威,-10
迷,231
借,91
乳,-133
針,-170
塚,-204
娘,668
邦,-398
昼,234
毎,296
称,-128
唐,-312
敗,150
奏,-319
鮮,-41
粉,-316
網,-409
普,251
訴,-186
梅,-219
尊,-76
貸,-126
廃,-365
額,116
炎,-56
柳,-77
閣,-257
童,-377
厚,34
懐,-49
混,205
易,-44
融,-616
忍,73
頃,593
承,166
慶,-291
怖,442
緑,-76
壊,138
包,298
湾,-479
執,-23
双,-249
孝,-388
肩,570
糸,-120
姫,393
浪,-176
臭,-39
伸,312
災,-399
距,-70
討,-46
即,-127
炭,-563
稲,-327
核,-602
泥,-52
裂,58
築,-129
釣,-361
推,125
麗,38
触,389
副,-294
潮,-240
冬,96
駅,244
厳,157
貞,-263
丹,-257
巡,-11
桜,194
貨,-325
帽,-107
刊,-118
騒,296
週,259
茂,-200
峰,-338
援,-222
氷,-152
更,46
希,153
謀,-47
展,14
沈,361
鶴,-139
獄,-38
虚,-70
功,133
丈,433
停,12
濃,12
避,114
熊,-97
株,-492
透,-127
施,-253
迫,225
阪,-213
穴,285
誘,200
益,-278
燃,161
販,-637
穂,-56
姉,431
猫,201
玄,392
訪,375
怒,629
占,-38
遅,303
尻,36
貫,-154
損,-184
潜,-57
飾,24
敬,100
旗,-99
昭,240
哲,-254
脈,-306
域,-72
授,185
貧,-21
銭,-79
封,39
慮,66
沼,-193
巨,376
祝,-86
幼,63
籠,11
舟,-29
猛,-102
杯,310
忘,631
往,-107
添,-114
寸,-165
浄,-562
隆,-235
仙,-160
届,265
況,221
腐,-220
互,196
範,-308
芝,17
緊,102
依,121
雷,38
亀,-31
勘,27
菊,-125
臓,64
泊,169
騎,254
拠,263
担,118
昨,516
揺,357
辛,44
昔,472
垣,-87
丘,-65
否,183
械,-143
響,480
召,13
孫,36
