あいさつ回り,あいさつまわり
あいの子,あいのこ
あいの手,あいのて
あい変らず,あいかわらず
あい変わらず,あいかわらず
あい昧,あいまい
あえ物,あえもの
あお向け,あおむけ
あかね色,あかねいろ
あか抜ける,あかぬける
あがり湯,あがりゆ
あがり目,あがりめ
あきれ返る,あきれかえる
あき場所,あきばしょ
あくる日,あくるひ
あけっ放し,あけっぱなし
あけ烏,あけがらす
あげ物,あげもの
あさ湯,あさゆ
あさ飯,あさはん
あさ飯,あさめし
あざ笑う,あざわらう
あし毛,あしげ
あずま屋,あずまや
あぜ道,あぜみち
あそばせ言葉,あそばせことば
あたり前,あたりまえ
あだ事,あだごと
あだ名,あだな
あだ花,あだばな
あだ討ち,あだうち
あっという間,あっというま
あっという間に,あっというまに
あっとゆう間,あっとゆうま
あっとゆう間に,あっとゆうまに
あっと言う間,あっというま
あっと言う間,あっとゆうま
あっと言う間に,あっというまに
あっと言う間に,あっとゆうまに
あっ倒,あっとう
あっ制,あっせい
あっ勝,あっしょう
あっ化,あっか
あっ搾,あっさく
あっ旋,あっせん
あっ死,あっし
あっ殺,あっさつ
あっ砕,あっさい
あっ縮,あっしゅく
あて先,あてさき
あて名,あてな
あて外れ,あてはずれ
あて字,あてじ
あて馬,あてうま
あで姿,あですがた
あと口,あとくち
あなた任せ,あなたまかせ
あねさん被り,あねさんかぶり
あの世,あのよ
あの手この手,あのてこのて
あばら家,あばらや
あばら屋,あばらや
あばら骨,あばらぼね
あぶら虫,あぶらむし
あぶら虫,アブラムシ
あぶら身,あぶらみ
あぶり出し,あぶりだし
あほう鳥,あほうどり
あほう鳥,アホウドリ
あまえん坊,あまえんぼう
あまり物,あまりもの
あま味,あまみ
あみ出す,あみだす
あめ色,あめいろ
あや取り,あやとり
あや織り,あやおり
あら塩,あらしお
あら塩,あらじお
あら捜し,あらさがし
あら探し,あらさがし
ありがた味,ありがたみ
ありがた迷惑,ありがためいわく
あり合せ,ありあわせ
あり合わせ,ありあわせ
あり得る,ありうる
あり得る,ありえる
あり方,ありかた
あり金,ありがね
ある日,あるひ
ある時,あるとき
ある程度,あるていど
あわせ鏡,あわせかがみ
あわ立つ,あわだつ
あん分,あんぶん
あん摩,あんま
あん馬,あんば
あ然,あぜん
いい交わす,いいかわす
いい加減,いいかげん
いい気,いいき
いかさま師,いかさまし
いかり肩,いかりがた
いがみ合う,いがみあう
いきり立つ,いきりたつ
いく日,いくにち
いく重,いくえ
いけ好かない,いけすかない
いさぎ良い,いさぎよい
いざなぎ景気,いざなぎけいき
いたし方,いたしかた
いたずら書き,いたずらがき
いち押し,いちおし
いち推し,いちおし
いち早く,いちはやく
いったい全体,いったいぜんたい
いつの間にか,いつのまにか
いで湯,いでゆ
いとし子,いとしご
いなか者,いなかもの
いの一番,いのいちばん
いびり出す,いびりだす
いぶし銀,いぶしぎん
いま一つ,いまひとつ
いもち病,いもちびょう
いもづる式,いもづるしき
いも虫,いもむし
いも虫,イモムシ
いや増す,いやます
いら立ち,いらだち
いら立つ,いらだつ
いろは歌,いろはうた
いわく付き,いわくつき
いわし雲,いわしぐも
いんげん豆,いんげんまめ
いんげん豆,インゲンマメ
いん石,いんせき
うき目,うきめ
うき身,うきみ
うぐいす色,うぐいすいろ
うけ取る,うけとる
うさん臭い,うさんくさい
うさ晴らし,うさばらし
うしろ手,うしろで
うす口,うすくち
うす塩,うすしお
うす塩,うすじお
うす緑,うすみどり
うず巻く,うずまく
うず高い,うずたかい
うたい文句,うたいもんく
うたた寝,うたたね
うた沢,うたざわ
うちの人,うちのひと
うち抜く,うちぬく
うち捨てる,うちすてる
うち湯,うちゆ
うち破る,うちやぶる
うち立てる,うちたてる
うち続く,うちつづく
うち解ける,うちとける
うっ滞,うったい
うっ血,うっけつ
うつ伏す,うつぶす
うつ伏せる,うつぶせる
うつ病,うつびょう
うどん粉,うどんこ
うなぎ丼,うなぎどんぶり
うな丼,うなどん
うな垂れる,うなだれる
うな重,うなじゅう
うば車,うばぐるま
うぶ毛,うぶげ
うまれ変わり,うまれかわり
うま味,うまみ
うめき声,うめきごえ
うら寂しい,うらさびしい
うら悲しい,うらがなしい
うら枯れる,うらがれる
うら若い,うらわかい
うり二つ,うりふたつ
うるう年,うるうどし
うるう月,うるうづき
うるさ型,うるさがた
うるさ方,うるさがた
うれし泣き,うれしなき
うろ憶え,うろおぼえ
うろ覚え,うろおぼえ
うわの空,うわのそら
うわ気,うわき
うわ言,うわごと
うん悪く,うんわるく
えい航,えいこう
えびす講,えびすこう
えび色,えびいろ
えび茶,えびちゃ
えり分ける,えりわける
えり好み,えりごのみ
えり抜き,えりぬき
えり抜く,えりぬく
えり足,えりあし
えん堤,えんてい
えん罪,えんざい
おい付く,おいつく
おう吐,おうと
おえら方,おえらがた
おお振り,おおぶり
おが屑,おがくず
おきな草,おきなぐさ
おきな草,オキナグサ
おくれ毛,おくれげ
おく病,おくびょう
おさげ髪,おさげがみ
